real_price,predicted_price,mape_error,mse_error
0.0826,0.0826049,3.5186897831128145e-09,2.401002429956158e-11
0.0813,0.081302516,9.577879350614612e-10,6.331073200427783e-12
0.0665,0.06691783,3.898647040683767e-05,1.7458125334755494e-07
0.0659,0.06619206,1.9468588539075155e-05,8.529945774136862e-08
0.049,0.045305673,0.006649140155357631,1.3648051739110536e-05
0.0376,0.045760106,0.031799301674776126,6.658733475136521e-05
0.0427,0.04482916,0.002255772952761659,4.533322199362914e-06
0.0727,0.072699584,3.273280179595544e-11,1.730003704387129e-13
0.0621,0.06216844,1.211997646250281e-06,4.684268058702893e-09
0.0721,0.072200626,1.9424044087856626e-06,1.0125619019366303e-08
0.1159,0.115954794,2.2329984908251835e-07,3.002381302679662e-09
0.078,0.07799672,1.7648441817595011e-09,1.0736409908673023e-11
0.0841,0.08411612,3.674230764464375e-08,2.599710153404992e-10
0.0548,0.054801106,4.0764980738075137e-10,1.224238112623771e-12
0.0466,0.04657439,3.0232666919679516e-07,6.557991311538433e-10
0.0519,0.052252896,4.561136390396816e-05,1.2453567862896203e-07
0.0462,0.04620471,1.0384742725436212e-08,2.217012855128526e-11
0.0692,0.06916611,2.4009490964870055e-07,1.1486021941486323e-09
0.0697,0.069700025,1.2887812488271429e-13,6.261019792475916e-16
0.0621,0.06210399,4.128650179658135e-09,1.59238141293534e-11
0.0448,0.04480048,1.1429897171846964e-10,2.294075133950554e-13
0.0548,0.0548072,1.7262899278089868e-08,5.185480238706208e-11
0.0514,0.051425673,2.4922726904306655e-07,6.591063984399953e-10
0.0478,0.047805987,1.5685459155303883e-08,3.584774319176828e-11
0.1013,0.10133966,1.5316493088954603e-07,1.572961996720374e-09
0.0947,0.09482466,1.728182871432912e-06,1.5539328790718057e-08
0.1079,0.10797653,5.023935750612756e-07,5.857372418724566e-09
0.1036,0.10360782,5.6945587584786474e-09,6.112869684845051e-11
0.1511,0.15111078,5.092206009771495e-09,1.1627781927958365e-10
0.18,0.12686671,0.17540339203863117,0.002823146169758945
0.165,0.16499583,6.37447365051381e-10,1.735362822336919e-11
0.1799,0.17992228,1.5337887811573834e-08,4.965185307899326e-10
0.1679,0.16789857,7.29942243680078e-11,2.0577019517805712e-12
0.1435,0.14352944,4.208614318597455e-08,8.67004075701728e-10
0.1674,0.16738863,4.611560689221173e-09,1.2921110876546325e-10
0.1119,0.11189657,9.412441290014089e-10,1.1785168756116243e-11
0.1495,0.14949708,3.8232363991583164e-10,8.544694779253825e-12
0.1495,0.14951359,8.258640477687178e-09,1.846162325735387e-10
0.1447,0.14513217,8.867069370697907e-06,1.8677015473325363e-07
0.1582,0.15819219,2.4389601016001603e-09,6.103441119432784e-11
0.1318,0.13180824,3.904568358537193e-09,6.783567142121333e-11
0.1077,0.10768876,1.0889756040778315e-08,1.262870798486862e-10
0.1093,0.10929327,3.795015298940652e-09,4.533152696744021e-11
0.0902,0.090218164,4.053557103519095e-08,3.2993186731010654e-10
0.0907,0.090662815,1.6822274924447745e-07,1.3827482643424797e-09
0.0691,0.06910076,1.2094113916520616e-10,5.774836621776621e-13
0.058,0.07904445,0.07088139975094632,0.00044286872214199937
0.0665,0.066500284,1.8209984406823104e-11,8.052979083370973e-14
0.1054,0.105399735,6.308425003691916e-12,7.008095067483642e-14
0.094,0.09400404,1.849249569786614e-09,1.6341374621473984e-11
0.1057,0.10570439,1.7244338656603455e-09,1.9267820329227264e-11
0.1532,0.15321282,6.996526635509526e-09,1.6423763354616302e-10
0.114,0.11399757,4.539446710803487e-10,5.899213565661003e-12
0.1188,0.118820906,3.095587651237392e-08,4.3704768308077325e-10
0.0854,0.08538813,1.931973043282482e-08,1.4086272393137957e-10
0.0746,0.07557405,0.00016611743917551211,9.487692403566333e-07
0.081,0.080633454,2.0664570490238526e-05,1.343559519413927e-07
0.0741,0.07410458,3.815304831543103e-09,2.095170213807073e-11
0.1047,0.104694866,2.4050338420920143e-09,2.6361611759441115e-11
0.1069,0.107028544,1.442460874013728e-06,1.652354685721676e-08
0.098,0.09799645,1.311598579037815e-09,1.259568040626228e-11
0.0747,0.07469881,2.523969187928649e-10,1.4083527732171188e-12
0.0877,0.08768537,2.7841742766929994e-08,2.140674738315392e-10
0.0837,0.083703466,1.7143915899329948e-09,1.2011490673723503e-11
0.0815,0.08174387,8.9006013349974e-06,5.947435999132931e-08
0.1443,0.14429826,1.4616651122685602e-10,3.0434771270342623e-12
0.1405,0.14049827,1.5238582160675147e-10,3.008059948731448e-12
0.16,0.16090181,3.1413240204745396e-05,8.132697516444349e-07
